Date,NIFTY,BANKNIFTY,NIFTY_norm,BANKNIFTY_norm
2023-10-17,19811.5,44409.5,108.86965399297249,102.79238849496663
2023-10-18,19671.099609375,43888.69921875,108.09811514191013,101.58691767825552
2023-10-19,19624.69921875,43754.5,107.84313220409712,101.27629363994231
2023-10-20,19542.650390625,43723.05078125,107.3922512749147,101.20349974873403
2023-10-23,19281.75,43151.19921875,105.95853170527205,99.87986431095713
2023-10-25,19122.150390625,42832.0,105.0814878544748,99.14103027542329
2023-10-26,18857.25,42280.1484375,103.6257871821407,97.8636878103189
2023-10-27,19047.25,42782.0,104.66988955998514,99.02529784374204
2023-10-30,19140.900390625,43039.1484375,105.18452427334101,99.62050612324022
2023-10-31,19079.599609375,42845.94921875,104.84765958141024,99.17331781554311
2023-11-01,18989.150390625,42700.94921875,104.3506161899837,98.8376937636675
2023-11-02,19133.25,43017.19921875,105.14248326785153,99.56970139405139
2023-11-03,19230.599609375,43318.25,105.67744620801294,100.26652817352341
2023-11-06,19411.75,43619.3984375,106.67291754274456,100.96358099290109
2023-11-07,19406.69921875,43737.8984375,106.64516210741246,101.23786685598563
2023-11-08,19443.5,43658.6484375,106.84739254535802,101.05443095177087
2023-11-09,19395.30078125,43683.6015625,106.58252455111004,101.1121886684568
2023-11-10,19425.349609375,43820.1015625,106.74765114530346,101.42813820694658
2023-11-13,19443.55078125,43891.25,106.8476716023258,101.5928218405905
2023-11-15,19675.44921875,44201.69921875,108.12201744449503,102.31140270058012
2023-11-16,19765.19921875,44161.55078125,108.61521843613471,102.21847317457858
2023-11-17,19731.80078125,43583.94921875,108.43168481502923,100.88152850715832
2023-11-20,19694.0,43584.94921875,108.2239591014108,100.88384315579195
2023-11-21,19783.400390625,43689.1484375,108.71523889315704,101.12502773509642
2023-11-22,19811.849609375,43449.6015625,108.87157519286592,100.57056088818854
2023-11-23,19802.0,43577.5,108.81744887408027,100.86660083179069
2023-11-24,19794.69921875,43769.1015625,108.77732906848424,101.31009112663172
2023-11-28,19889.69921875,43880.94921875,109.29938025740644,101.56897915134493
2023-11-29,20096.599609375,44566.44921875,110.43635494071435,103.15567078969482
2023-11-30,20133.150390625,44481.75,110.63721155974169,102.95962185874603
2023-12-01,20267.900390625,44814.19921875,111.37769995666031,103.7291249886754
2023-12-04,20686.80078125,46431.3984375,113.67967308261568,107.47237295065439
2023-12-05,20855.099609375,47012.25,114.60452153858273,108.81684022613393
2023-12-06,20937.69921875,46834.55078125,115.05842916256937,108.40552897225804
2023-12-07,20901.150390625,46841.3984375,114.85758327650231,108.42137889044064
2023-12-08,20969.400390625,47262.0,115.23263584117538,109.39492372238178
2023-12-11,20997.099609375,47314.25,115.38485068412963,109.51586411348866
2023-12-12,20906.400390625,47097.55078125,114.88643347378485,109.01428156290139
2023-12-13,20926.349609375,47092.25,114.9960599302744,109.00201211682395
2023-12-14,21182.69921875,47732.30078125,116.40477170242139,110.48350478309482
2023-12-15,21456.650390625,48143.55078125,117.91020891277904,111.43540403367307
2023-12-18,21418.650390625,47867.69921875,117.70138843721014,110.79690459144915
2023-12-19,21453.099609375,47870.8984375,117.89069639095624,110.80430965875749
2023-12-20,21150.150390625,47445.30078125,116.2259069190458,109.81920062524446
2023-12-21,21255.05078125,47840.1484375,116.80236348372142,110.73313421327353
2023-12-22,21349.400390625,47491.8515625,117.3208405968642,109.92694932745894
2023-12-26,21441.349609375,47724.8515625,117.82612690180008,110.46626245909357
2023-12-27,21654.75,48282.19921875,118.9988208769816,111.75632645008669
